SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"RITES","215.80","217.94","214.11","215.80","216.00","-","0.2","0.09","244159","5.27","280.90","175.00","-7.79","-17.62"
"TRIDENT","24.17","24.23","23.92","24.16","24.06","-","-0.1","-0.41","2135046","5.12","30.94","21.98","-4.45","-14.8"
"IOB","33.55","33.63","33.02","33.55","33.06","-","-0.49","-1.46","1509216","5.00","41.80","31.20","-3.5","-14.11"
"TTML","37.74","38.09","36.60","37.74","37.35","-","-0.39","-1.03","1329750","4.99","60.62","31.22","-5.13","-35.03"
"SOBHA","1,276.00","1,276.00","1,243.20","1,263.80","1,260.00","-","-3.8","-0.3","38511","4.82","1,732.00","1,130.00","-5.9","-10.49"
"SUMICHEM","493.40","497.70","485.20","493.40","488.95","-","-4.45","-0.9","96847","4.76","617.45","362.60","-8.26","-14.14"
"ABLBL","86.90","87.40","84.99","86.07","85.60","-","-0.47","-0.55","543434","4.68","151.33","82.61","-8.8","-39.55"
"ITI","272.10","275.90","269.15","272.50","271.00","-","-1.5","-0.55","171656","4.68","372.85","237.00","-4.04","-12.03"
"BATAINDIA","672.75","675.00","667.50","672.75","668.75","-","-4","-0.59","68230","4.58","1,282.50","605.00","-7.18","-46.16"
"3MINDIA","32,700.00","32,985.00","32,480.00","32,845.00","32,950.00","-","105","0.32","1326","4.34","38,030.00","28,730.00","-8.56","8.44"
"FACT","799.50","808.95","791.30","801.40","796.95","-","-4.45","-0.56","53413","4.25","1,058.60","652.10","-5.06","-19.54"
"BIKAJI","585.10","587.00","577.10","584.20","582.00","-","-2.2","-0.38","73330","4.25","818.70","577.10","-6.66","-27.25"
"ERIS","1,327.40","1,341.00","1,318.20","1,321.70","1,338.00","-","16.3","1.23","27451","3.64","1,797.60","1,200.00","-3.21","-22.62"
"EIHOTEL","294.00","294.85","290.50","291.90","294.50","-","2.6","0.89","112598","3.30","434.80","271.15","-3.93","-28.37"
"GALLANTT","574.50","577.80","566.05","574.00","575.00","-","1","0.17","54832","3.14","948.00","496.25","-5.04","-10.17"
"BAYERCROP","4,009.80","4,010.80","3,966.00","3,989.90","3,975.00","-","-14.9","-0.37","7323","2.91","5,489.00","3,935.00","-4.84","-21.79"
"TRAVELFOOD","1,296.50","1,312.40","1,280.20","1,296.30","1,281.00","-","-15.3","-1.18","22411","2.90","1,470.90","1,035.30","-10.33","-2.15"
"GODIGIT","260.00","260.75","254.85","258.30","255.50","-","-2.8","-1.08","110938","2.84","381.40","244.20","-6.15","-27.84"
"NIVABUPA","80.10","81.25","80.00","80.11","80.70","-","0.59","0.74","337165","2.72","91.40","67.50","-6.37","-4.69"
"BLUEDART","4,991.70","4,996.60","4,953.00","4,991.70","4,975.00","-","-16.7","-0.33","4441","2.21","7,036.00","4,628.50","-2.25","-12.8"
"INDIACEM","362.00","362.20","355.00","362.50","357.10","-","-5.4","-1.49","33475","1.20","485.80","342.35","-10.31","-9.64"
